Feature	r2_score	cell_count_coef	dose_coef	intercept
Cytoplasm_Texture_Contrast_Actin_3_00_256	0.08033867502789382	-0.0016188806418976865	-0.06730074858481969	0.9316404508443518
Cytoplasm_Texture_Contrast_Actin_3_01_256	0.09313830044620852	-0.0016725974632155539	-0.07155825897548869	0.9737290564294099
Cytoplasm_Texture_Contrast_Actin_3_02_256	0.09688929029400384	-0.0017817470939125632	-0.0680175612800166	1.0062012390470019
Cytoplasm_Texture_Contrast_Actin_3_03_256	0.09258448997033908	-0.0016980017589633923	-0.06799049359100848	0.9545788171483253
Cytoplasm_Texture_Contrast_ER_3_01_256	0.07400075512545157	-0.0009626612103965852	-0.08440559229861752	0.6583477841546679
Cytoplasm_Texture_Contrast_ER_3_03_256	0.07117797316470342	-0.0009450464117699184	-0.08021946840126754	0.6217774020864404
Cytoplasm_Texture_Contrast_Hoechst_3_01_256	0.001797504013538509	0.0001441791939752658	0.009312435488845567	-0.18422338306489297
Cytoplasm_Texture_Contrast_Mitochondria_3_00_256	0.01998067892142885	-0.0001989965314368612	-0.034143666408463655	-0.06664281553123103
Cytoplasm_Texture_Contrast_Mitochondria_3_01_256	0.015909942397914434	-0.00011341173931123577	-0.03160807939685999	-0.10032135225474315
Cytoplasm_Texture_Contrast_Mitochondria_3_02_256	0.018965008763512592	-3.662838024791026e-05	-0.03595501762563561	-0.1404384953431581
Cytoplasm_Texture_Contrast_Mitochondria_3_03_256	0.012915750144597227	-3.968132712522861e-05	-0.02861788287973345	-0.16809624086090888
Cytoplasm_Texture_Contrast_PM_3_01_256	0.010855740490400279	-0.00038841395413926336	-0.031742251122203864	0.2996573721093031
Cytoplasm_Texture_Correlation_Actin_3_00_256	0.017488918716674795	-0.0008647957013661755	-0.027095197452913514	0.5678273322491851
Cytoplasm_Texture_Correlation_Actin_3_02_256	0.02144216797906362	-0.001153581436636507	-0.022223339147003564	0.6942138715236994
Cytoplasm_Texture_Correlation_ER_3_00_256	0.035156319201770425	0.00039050089925192136	0.06323953040695006	-0.3999223073120206
Cytoplasm_Texture_Correlation_ER_3_01_256	0.0318441273363026	0.00029229824772663204	0.06109212423457788	-0.35245249780109056
Cytoplasm_Texture_Correlation_ER_3_02_256	0.0324082438724318	0.00018532455667989882	0.06303984365996274	-0.30285812106724447
Cytoplasm_Texture_Correlation_ER_3_03_256	0.025621872897333087	0.00023025795228081558	0.05377978786108438	-0.2553398276888764
Cytoplasm_Texture_Correlation_Hoechst_3_00_256	0.07191773355512421	-0.0012264422890521456	-0.07740312578070196	0.7899367882663132
Cytoplasm_Texture_Correlation_Hoechst_3_01_256	0.08253055000591236	-0.001326735952668571	-0.08246132107660575	0.8251680671016036
Cytoplasm_Texture_Correlation_Hoechst_3_02_256	0.0723677866678073	-0.0013549833405571425	-0.07488891524590817	0.8344872252659239
Cytoplasm_Texture_Correlation_Hoechst_3_03_256	0.08554784542970606	-0.0013596711942646098	-0.08328330690974722	0.8819480318815537
Cytoplasm_Texture_Correlation_Mitochondria_3_03_256	0.005019763847762482	0.0004457275499036452	0.016692339375789726	-0.2818712784698559
Cytoplasm_Texture_Correlation_PM_3_00_256	0.04478707663888837	7.691440487080014e-05	0.07989558338213935	-0.45326724447864375
Cytoplasm_Texture_Correlation_PM_3_01_256	0.03363720755973476	-7.568449758324642e-05	0.06993337277676298	-0.3385231122460747
Cytoplasm_Texture_Correlation_PM_3_02_256	0.044769705451632724	-8.100147440242202e-05	0.08167919372164338	-0.38098056192957225
Cytoplasm_Texture_Correlation_PM_3_03_256	0.030993079490715503	-9.27256982238323e-05	0.06688311567704562	-0.28785687309919133
Cytoplasm_Texture_DifferenceEntropy_Actin_3_00_256	0.1879781962726642	-0.002307954513810492	-0.1136663565088107	1.4093501672070312
